,degree_sum,betweenness_sum,closeness_sum,Developers,clustering_sum,eigenvector_sum,pagerank_sum,hubs_sum,Number of Hubs,bug_probability,committer,len_developers,filename
5330,-2.818978335194384,-3.496536219013728,-3.166778647044315,-3.4964745620109685,-2.894957813258239,-2.7186645595381638,-2.8597641060039516,-2.718664667946161,-13.815510557964275,-13.815510557964275,"['IT' ""Luigi Dell'Aquila""]",2,core/src/main/java/com/orientechnologies/orient/core/sql/parser/OContainsValueCondition.java
5597,-1.0660861929667664,-0.634793232302562,-2.484772033095374,-13.815510557964275,-5.095469164593216,-1.4103072879877017,-1.0141435315410845,-1.4103026532257137,-0.6931451805619453,-13.815510557964275,['Trustin Lee'],1,src/main/java/org/jboss/netty/logging/JdkLogger.java
3832,-4.644286904548998,-4.736193404606827,-5.69784074531045,-13.815510557964275,-3.2573900668181177,-4.594579122551457,-6.3303799859690955,-4.594575071786993,-13.815510557964275,-13.815510557964275,['Christopher Webster'],1,Plotter/src/main/java/plotter/xy/XYPlot.java
3293,-0.3553622566033346,-0.14862752081791386,-0.5334558318824575,-0.6061339702386628,-0.8932745430921424,-0.4660011882955357,-0.3212861320172565,-0.4660072230882544,-0.28768073911933645,-13.815510557964275,"['Lasse Westh-Nielsen' 'Ben Butler-Cole' 'Chris Leishman' 'Jim Webber'
 'Rickard Öberg' 'Stefan Plantikow' 'Tobias Lindaaker' 'Chris Gioran'
 'Mattias Persson' 'Jacob Hansson' 'rickardoberg' 'Michael Hunger'
 'Anders Nawroth' 'Julian Simpson' 'Andres Taylor' 'Peter Neubauer'
 'Thomas Baum' 'Rickard Öberg' 'Andreas Kollegger']",19,community/udc/src/test/java/org/neo4j/ext/udc/impl/UdcExtensionImplTest.java
640,-0.17128616549308856,-0.03664488045436192,-0.3159818282644562,-0.3600013006991009,-0.4579944888911644,-0.1989002574437616,-0.17928256046646582,-0.19890095078504855,9.999994999180668e-07,-5.305233426029484,"['enesakar' 'serkanozal' 'Ali' 'sancar' 'Mesut Celik' 'Donnerbart'
 'dbrimley' 'Asım Arslan' 'Emrah Kocaman' 'Ahmet Mircik' 'Mehmet Dogan'
 'Chris Szmajda' 'ahmetmircik' 'mustafa sancar koyunlu' 'Peter Veentjer'
 'Talip Ozturk' 'hasancelik' 'Burak Emre Kabakcı' 'Rahul Gupta'
 'Fuad Malikov' 'danny' 'Enes Akar' 'lukasblu' 'sgalland' 'Ali Gurbuz'
 'Lukas Blunschi' 'Greg Luck' 'Christoph Engelbert' 'noctarius'
 'Emanuele Gherardini' 'Emin Demirci']",31,hazelcast-client/src/main/java/com/hazelcast/client/connection/nio/ClientConnection.java
4718,-3.5898725064419685,-2.1983068285053227,-4.995894189490243,-13.815510557964275,-4.472935733384928,-4.293096339873936,-3.6757764340731542,-4.2931509705209905,-1.945903149079813,-13.815510557964275,['Jeff Fischer'],1,BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/admin/client/presenter/promotion/translation/statement/PhraseTranslator.java
3331,-3.106057997638908,-3.247106157545772,-3.4411308554025566,-3.4964745620109685,-2.995511437571183,-3.0849327725240374,-3.1221058275343005,-3.084912473287471,-2.7725727223677796,-13.815510557964275,['Chris Vest' 'magnusvejlstrup'],2,community/io/src/test/java/org/neo4j/io/pagecache/tracing/DelegatingPageCacheTracer.java
2597,-0.16857282317324465,-0.0238830679530156,-0.3646523320439895,-0.4054636081092894,-0.6373229764469146,-0.23631675888120465,-0.16848823689631012,-0.236316114886216,9.999994999180668e-07,-5.969168454937518,"['laa' 'Matan Shukry' 'Luca Garulli' 'machak' 'danrub.r' 'Tglman' 'lvca'
 'tglman' 'Daniel.Haifa' 'enisher' 'henryzhao81' ""Luigi Dell'Aquila""
 'Davide Marqu�s' 'Artem Orobets' 'w3aponx' 'Andrey Lomakin' 'MaDaPHaKa'
 'giastfader' 'Artem' 'l.garulli' 'lomakin.andrey@gmail.com'
 'molino.luca@gmail.com' 'l.garulli@gmail.com']",23,core/src/main/java/com/orientechnologies/orient/core/serialization/serializer/record/string/ORecordSerializerStringAbstract.java
5168,-0.4470125473858956,-0.1838843408105518,-0.788428519092631,-1.0986092886726098,-1.5041816857039496,-0.5525704735603336,-0.4378390716002355,-0.5525695248507623,-0.6931451805619453,-13.815510557964275,['Terence Parr' 'Sam Harwell' 'parrt'],3,tool/src/org/antlr/v4/analysis/LeftRecursionDetector.java
94,-0.7407731319904243,-0.2443906593955193,-1.2701922513111692,-1.7917534692460548,-2.79108043320414,-1.0776224103263776,-0.6873866230764087,-1.0776256695106619,-0.6931451805619453,-4.990285597582178,['Terence Parr' 'Sam Harwell'],2,tool/test/org/antlr/v4/test/TestXPath.java
1036,-0.7392361934227826,-0.26196100271234163,-1.1318177455395029,-1.2762898825786493,-1.67285161133828,-0.8802627656224468,-0.7383110035231186,-0.8802657331940917,-0.2231423013149909,-7.941676132672677,"['ahmetmircik' 'hasancelik' 'Peter Veentjer' 'Mesut Celik' 'danny'
 'Ali Gurbuz' 'Emanuele Gherardini' 'enesakar' 'Christoph Engelbert'
 'Emin Demirci' 'Mehmet Dogan' 'Ali' 'sancar']",13,hazelcast/src/main/java/com/hazelcast/concurrent/lock/client/LockRequest.java
5095,-2.818978335194384,-3.496536219013728,-3.166778647044315,-3.4964745620109685,-2.894957813258239,-2.7186645595381638,-2.8597641060039516,-2.718664667946161,-13.815510557964275,-13.815510557964275,"['IT' ""Luigi Dell'Aquila""]",2,core/src/main/java/com/orientechnologies/orient/core/sql/parser/OMultExpression.java
238,-1.144219659925092,-0.9498910123782632,-1.3517258275639443,-1.4350803252981426,-1.6349813718946886,-1.2264461638622088,-1.1266265478052395,-1.2264438643765787,-0.8472955270565926,-6.905756277316967,"['Chris Kittrell' 'Phillip Verheyden' 'Joshua Skorton' 'Chad Harchar'
 'Andre Azzolini' 'jefffischer']",6,admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/web/form/entity/FieldGroup.java
1863,-0.2416827858389501,-0.0997521928518852,-0.3293973793367991,-0.3610119107557511,-0.4735420416279535,-0.3047520378510703,-0.21189284038861264,-0.30475364672855443,-0.2076381340097711,-4.644286904548998,"['Chris Vest' 'Chris Leishman' 'Mattias Persson' 'Chris Gioran'
 'Konstantin Lutovich' 'lutovich' 'Zhen' 'Martin Furmanski' 'rickardoberg'
 'Davide Grohmann' 'Rickard Öberg' 'magnusvejlstrup' 'Rickard Öberg'
 'Jacob Hansson' 'Mark Needham' 'Stefan Armbruster' 'Stefan Plantikow'
 'Andres Taylor' 'Lasse Westh-Nielsen' 'Alistair Jones' 'David Montag'
 'Peter Neubauer' 'Anders Nawroth' 'Tobias Ivarsson']",24,enterprise/backup/src/main/java/org/neo4j/backup/BackupTool.java
3517,-1.5017793281085317,-0.7986589238218781,-1.9096367577288171,-2.110204950380621,-2.6825044744309543,-1.786334514573607,-1.4141005112919667,-1.786341684413478,-1.3862903611278907,-13.815510557964275,"['Mattias Persson' 'Jacob Hansson' 'Lasse Westh-Nielsen' 'Andres Taylor'
 'Tobias Ivarsson']",5,community/kernel/src/test/java/org/neo4j/kernel/impl/traversal/TestMultiRelTypesAndDirections.java
427,-0.8515508426765055,-0.2589750670406937,-1.1238544214738566,-1.2527594685014931,-1.5897414719588685,-1.0141517244680749,-0.8335229139027006,-1.014154677369465,-0.33647083662219285,-6.213108222797207,"['jefffischer' 'Reginald C Cole' 'Phillip Verheyden' 'Andre Azzolini'
 'Priyesh Patel' 'Jeff Fischer' 'Brian Polster']",7,core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/offer/domain/OfferItemCriteriaImpl.java
1816,-0.06155682950793566,-0.04213627427472552,-0.11417980648390068,-0.12921059354961914,-0.2110807718595968,-0.10611331982819916,-0.04240311344282464,-0.1061145849795472,-0.06453745447147337,-3.9511917199333806,"['Chris Vest' 'Chris Leishman' 'Chris Gioran' 'Mats Rydberg'
 'Mattias Persson' 'Tobias Lindaaker' 'Craig Taverner' 'Davide Grohmann'
 'Andres Taylor' 'lutovich' 'Ben Butler-Cole' 'magnusvejlstrup'
 'Stefan Plantikow' 'Martin Furmanski' 'Zhen' 'Pontus Melke'
 'Anders Nawroth' 'Jakub Wieczorek' 'Jacob Hansson' 'rickardoberg'
 'Johan Svensson' 'Rickard Öberg' 'Rickard Öberg' 'Alistair Jones'
 'Lasse Westh-Nielsen' 'johan-neo' 'Peter Neubauer' 'Michael Hunger'
 'Pablo Pareja Tobes' 'Thomas Baum']",30,community/kernel/src/main/java/org/neo4j/graphdb/factory/GraphDatabaseSettings.java
1797,-0.8706586472994402,-0.4961191020179868,-1.2373349867896213,-1.3862903611278907,-1.7760828205973629,-1.018592927434755,-0.864443939558447,-1.0185949663145173,-0.6931451805619453,-4.421164151288091,['t00thpick1' 'TfT_02' 'riking' 'GJ' 'gmcferrin' 'NuclearW'],6,src/main/java/com/gmail/nossr50/util/player/UserManager.java
4968,-2.720855696098305,-1.2499688254577759,-4.0068589742044,-13.815510557964275,-13.815510557964275,-3.210803757104584,-2.7350620952316342,-3.2108132072027447,-1.945903149079813,-13.815510557964275,['Brian Polster'],1,core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/service/type/FulfillmentGroupType.java
696,-0.575625822676479,-0.1389684068999817,-0.7978866943321653,-0.8708259689113622,-1.1362908700601837,-0.7023788083192396,-0.5486096163117458,-0.7023808169735967,-0.2231423013149909,-6.844940316787382,"['Mesut Celik' 'Ali' 'bilalyasar' 'Donnerbart' 'Igmar Palsenberg'
 'serkanozal' 'ahmetmircik' 'sancar' 'sgalland' 'danny' 'Mehmet Dogan'
 'hasancelik' 'Peter Veentjer' 'enesakar' 'talip' 'Fuad Malikov'
 'Enes Akar' 'Ali Gurbuz' 'Talip Ozturk']",19,hazelcast-cloud/src/main/java/com/hazelcast/aws/impl/DescribeInstances.java
1447,-0.8274216695061418,-0.2665863634736125,-1.1048350150249335,-1.1962474505451886,-1.5115592327221388,-0.9969615499070602,-0.7919620184264116,-0.996964425053793,-0.4054636081092894,-7.2499359764887945,"['noctarius' 'enesakar' 'Ali' 'muratayan' 'Mark Thomas' 'danny'
 'ahmetmircik' 'Enes Akar' 'Peter Veentjer' 'Christoph Engelbert'
 'Mehmet Dogan' 'Fuad Malikov' 'talip' 'Ali Gurbuz']",14,hazelcast/src/main/java/com/hazelcast/query/impl/TypeConverters.java
388,-0.5490542961042726,-0.08036802214111523,-0.7482661828543964,-0.8472955270565926,-1.17048124975347,-0.6782197886208874,-0.5348016817902773,-0.6782242620688038,-0.1541495131612722,-6.213108222797207,"['Phillip Verheyden' 'Elbert Bautista' 'jefffischer' 'Reginald C Cole'
 'Andre Azzolini' 'Brian Polster' 'Priyesh Patel' 'Jeff Fischer'
 'Kelly Tisdell' 'Joseph Fridye']",10,core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/catalog/domain/ProductAttributeImpl.java
2666,-1.3193683075626128,-0.9006049294185218,-2.029362222384215,-2.39788427285887,-2.7031460286785354,-1.545700155885371,-1.3403203693371235,-1.5456978413959637,-0.4054636081092894,-7.066998688987152,['lvca' 'Davide Marqu�s' 'Artem Orobets' 'laa'],4,core/src/main/java/com/orientechnologies/orient/core/sql/functions/misc/OSQLMethodInclude.java
3527,-1.9602299406911858,-0.9966962878865,-2.447633898491945,-2.6625734937948407,-3.1670522950166653,-2.2190109795137407,-1.8941892532697973,-2.2190151635153987,-1.6094329124466005,-13.815510557964275,['ahmetmircik' 'Mehmet Dogan' 'Talip Ozturk' 'Ali'],4,hazelcast/src/main/java/com/hazelcast/multimap/impl/MultiMapContainerSupport.java
686,-0.4670665647582793,-0.20882439879160294,-0.6922867298370966,-0.7654656921418828,-0.9109508668888868,-0.526709912708503,-0.4794782008132187,-0.5267112564679167,-0.2231423013149909,-7.2499359764887945,"['Mesut Celik' 'Ali' 'Donnerbart' 'dbrimley' 'Asım Arslan' 'sancar'
 'Emrah Kocaman' 'Mehmet Dogan' 'serkanozal' 'ahmetmircik' 'lukasblu'
 'Peter Veentjer' 'sgalland' 'Ali Gurbuz' 'danny' 'Emin Demirci'
 'Lukas Blunschi' 'mustafa sancar koyunlu' 'hasancelik' 'enesakar'
 'Emanuele Gherardini']",21,hazelcast-client/src/main/java/com/hazelcast/client/txn/ClientTransactionManager.java
3831,-3.5898725064419685,-2.1983068285053227,-4.995894189490243,-13.815510557964275,-4.472935733384928,-4.293096339873936,-3.6757764340731542,-4.2931509705209905,-1.945903149079813,-13.815510557964275,['Jeff Fischer'],1,BroadleafCommerce/admin/BroadleafCommerceAdminModule/src/main/java/org/broadleafcommerce/gwt/admin/client/presenter/promotion/OfferPresenterExtractor.java
4954,-2.95346964214288,-2.5833467948604363,-3.5209815484859592,-3.761157116618036,-3.4278033530582603,-3.013783107231818,-3.0412538635307538,-3.0137855621503036,-2.708035201214709,-13.815510557964275,['Ali' 'ajermakovics'],2,hazelcast/src/test/java/com/hazelcast/util/StateMachineTest.java
3948,-4.286600628998642,-9.72272979947886,-3.838061944084513,-3.761157116618036,-2.8621861079295887,-3.71932350101387,-4.561333281167103,-3.719317930634951,-13.815510557964275,-13.815510557964275,['Chris Szmajda' 'Ubuntu'],2,hazelcast-client-new/src/main/java/com/hazelcast/client/config/SocketOptions.java
4190,-1.51839972447239,-0.9496107653405904,-1.9742419850760409,-2.151753603296442,-2.5020887710735757,-1.6578762324730911,-1.5199483118353625,-1.6578793264433775,-1.0986092886726098,-13.815510557964275,"['Donnerbart' 'Ali Gurbuz' 'sancar' 'hasancelik' 'ahmetmircik'
 'Mehmet Dogan']",6,hazelcast/src/main/java/com/hazelcast/map/impl/NearCacheProvider.java
562,-1.2570147791463109,-0.96581691341565,-1.5410952469071717,-1.6582228266173136,-1.9225832798586224,-1.366553574023094,-1.2367028349975342,-1.3665513570748409,-0.8472955270565926,-6.905756277316967,"['jefffischer' 'Reginald C Cole' 'Phillip Verheyden' 'Andre Azzolini'
 'Elbert Bautista']",5,core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/domain/CustomerPhoneImpl.java
1527,-1.4948693332229976,-0.6313240736847273,-2.094010460922403,-2.3748950046314525,-3.1180908568399115,-1.7510649080012857,-1.4603955954361796,-1.7510696565434032,-1.0986092886726098,-7.941676132672677,['Ali' 'Ali Gurbuz' 'Mehmet Dogan' 'ahmetmircik' 'Peter Veentjer'],5,hazelcast/src/main/java/com/hazelcast/transaction/client/ClientTxnPortableHook.java
2269,-0.4096043945512636,-0.06707321920035397,-1.2466483199900178,-1.7047425922535502,-1.626176070984226,-0.6819843383977993,-0.3699135028194632,-0.6819807030553022,9.999994999180668e-07,-4.652389233577123,['Norman Maurer' 'Trustin Lee' 'Aaron Riekenberg'],3,transport-native-epoll/src/main/java/io/netty/channel/epoll/EpollSocketChannel.java
4914,-0.5630922962157286,-0.121522579602836,-1.1034754613612152,-1.5040728967863992,-2.41600685229522,-0.8398303762928143,-0.5378356598742214,-0.8398289278195448,9.999994999180668e-07,-13.815510557964275,['Stephen Mallette' 'Dan LaRocque' 'Matthias Broecheler'],3,titan-hadoop-parent/titan-hadoop-core/src/main/java/com/thinkaurelius/titan/hadoop/FaunusVertexQuery.java
2150,-0.18066883073639725,-0.04793809575250736,-0.7762548545930069,-1.0115981616822611,-1.5477057964995105,-0.33939597040719405,-0.1737893361029163,-0.3393935279946912,9.999994999180668e-07,-6.118376912873227,['Trustin Lee' 'Veebs' 'Norman Maurer' 'Jestan Nirojan' 'norman'],5,example/src/main/java/io/netty/example/http/websocketx/sslserver/WebSocketSslServerHandler.java
5685,-1.341942544188885,-0.9006049294185218,-2.268055161693756,-2.8033438810426583,-3.965045908753372,-1.6004783948305408,-1.3686080273108898,-1.6004757671624308,-0.4054636081092894,-13.815510557964275,['laa' 'lvca' 'Artem Orobets'],3,tests/src/test/java/com/orientechnologies/orient/test/database/auto/IndexConcurrentCommitTest.java
3312,-2.7806418007886804,-2.3782835210580684,-3.271756029999588,-3.4964745620109685,-3.4400852040556162,-2.9838888682556006,-2.729976788321502,-2.983896426333286,-2.7725727223677796,-13.815510557964275,['Andreas Kollegger' 'Anders Nawroth'],2,community/graph-algo/src/main/java/org/neo4j/graphalgo/impl/util/IntegerAdder.java
1662,-0.8998577312218236,-0.7431629199641123,-1.2325710563664525,-1.3862903611278907,-1.6503854953967467,-0.9620867343018334,-0.9333231221711292,-0.9620844657543556,-0.4700020292470155,-4.931934314539821,['GJ' 'bm01' 'U-YUE\\Sean' 'Grant' 'Glitchfinder' 'nossr50'],6,src/main/java/com/gmail/nossr50/commands/general/AddlevelsCommand.java
5506,-1.1670118031682897,-0.903664142794123,-2.5903490708396237,-13.815510557964275,-4.9332487852138085,-1.4581183345108732,-1.1529140019432698,-1.45811393043044,-0.6931451805619453,-13.815510557964275,['Norman Maurer'],1,transport-native-epoll/src/main/java/io/netty/channel/epoll/AbstractEpollServerChannel.java
521,-0.9399197766280996,-0.2771984326030098,-1.265903559315545,-1.4350803252981426,-1.9367885969765024,-1.139342100595053,-0.9105264217675856,-1.1393451513614865,-0.33647083662219285,-6.905756277316967,"['Phillip Verheyden' 'Kelly Tisdell' 'jefffischer' 'Brian Polster'
 'Andre Azzolini' 'Priyesh Patel']",6,core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/search/dao/SearchFacetDaoImpl.java
4895,-2.0053261409822767,-1.1079136898580106,-2.08398776705914,-2.1972155773767192,-2.121650468222398,-2.3850889704559832,-1.973803000244556,-2.3851013295842507,-13.815510557964275,-13.815510557964275,['harleigh' 'Victor Woeltjen'],2,fastPlotViews/src/test/java/gov/nasa/arc/mct/fastplot/util/TestTimeFormatUtils.java
1836,-1.651642948880487,-0.9432446861334804,-2.151862696091558,-2.39788427285887,-2.998917776915942,-1.9221762604830737,-1.584159191910845,-1.9221787917541964,-1.3862903611278907,-4.644286904548998,['Chris Gioran' 'Chris Vest' 'Jacob Hansson' 'Mattias Persson'],4,community/kernel/src/main/java/org/neo4j/kernel/impl/transaction/xaframework/IllegalLogFormatException.java
5235,-3.7991828456136614,-3.36184344264385,-5.3274112553525335,-13.815510557964275,-4.508584869815015,-4.001469014767977,-3.7991677680292617,-4.001454323084608,-2.7725727223677796,-13.815510557964275,['Alistair Jones'],1,enterprise/consistency-check/src/main/java/org/neo4j/consistency/checking/full/NodeToLabelIndexesProcessor.java
5151,-1.6434165924235722,-1.0830288623289028,-2.369487797901435,-2.8033438810426583,-3.405890286666452,-1.8761242077931293,-1.6542497972924404,-1.8761221887761648,-1.0986092886726098,-13.815510557964275,['tglman' 'lvca' 'lomakin.andrey@gmail.com'],3,core/src/test/java/com/orientechnologies/orient/core/id/NodeIdTest.java
3643,-0.9067188046705942,-0.686088002316616,-0.8392568015455674,-0.8109279662188601,-0.7049440141891385,-0.9351957086629528,-0.8940071737237909,-0.93519633489793,-1.3862903611278907,-13.815510557964275,['harleigh' 'Victor Woeltjen' 'Nija Shi' 'Dan Berrios' 'Peter B. Tran'],5,fastPlotViews/src/test/java/gov/nasa/arc/mct/fastplot/bridge/TestPlotDataSeries.java
5402,-2.7486787799401484,-2.06552245589462,-3.437509529633909,-3.761157116618036,-3.698743889599007,-2.8672159662243315,-2.7739443529782593,-2.8672195618038336,-2.708035201214709,-13.815510557964275,['Peter Veentjer' 'Jaromir Hamala'],2,hazelcast/src/test/java/com/hazelcast/nio/tcp/handlermigration/LoadTrackerTest.java
5105,-2.9194758433992645,-2.963267308135768,-3.386575303732813,-3.4964745620109685,-3.28900270675226,-2.9909676006910773,-2.928690682183855,-2.9909483969073527,-2.079433541711836,-13.815510557964275,['Davide Grohmann' 'Chris Vest'],2,community/io/src/main/java/org/neo4j/io/fs/AbstractStoreChannel.java
3100,-3.5898725064419685,-2.1983068285053227,-4.995894189490243,-13.815510557964275,-4.472935733384928,-4.293096339873936,-3.6757764340731542,-4.2931509705209905,-1.945903149079813,-13.815510557964275,['Jeff Fischer'],1,BroadleafCommerce/core/BroadleafCommerceFramework/src/main/java/org/broadleafcommerce/content/domain/ContentPageInfo.java
3295,-2.147516345184251,-1.4266520785054333,-2.734436212416769,-3.0445014379439197,-3.5812833846472603,-2.4267050012254074,-2.0991822022092412,-2.426702351651141,-1.2527594685014931,-13.815510557964275,['Phillip Verheyden' 'Andre Azzolini'],2,core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/service/CustomerUserDetails.java
3874,-0.8157472417852684,-0.3188133381806049,-0.9815482677363196,-1.0986092886726098,-1.3687349561021167,-0.9973903347382628,-0.8013536337569931,-0.9973939997390238,-0.6931451805619453,-13.815510557964275,['VWoeltjen' 'Victor Woeltjen' 'harleigh' 'nshi'],4,platform/src/main/java/gov/nasa/arc/mct/gui/actions/ObjectsSaveAllAction.java
4481,-1.2388687695946423,-0.7716533629960126,-1.659501030191362,-1.8152838237999736,-2.2175356865029516,-1.371143878758637,-1.2497304824037312,-1.3711465859401393,-0.91628823187728,-13.815510557964275,"['hasancelik' 'serkanozal' 'Ali Gurbuz' 'Ahmet MIRCIK' 'Asım Arslan'
 'ahmetmircik' 'Mehmet Dogan' 'Ali']",8,hazelcast/src/main/java/com/hazelcast/cache/impl/operation/package-info.java
3124,-1.033921801900096,-0.8145793388264309,-1.6287935835638898,-1.88706304905416,-2.2959975770590733,-1.1747191064067215,-1.058958733547122,-1.174717389105398,-0.4054636081092894,-13.815510557964275,"['laa' 'IT' ""Luigi Dell'Aquila"" 'lvca' 'tglman' 'enisher']",6,graphdb/src/test/java/com/orientechnologies/orient/graph/blueprints/GraphTests.java
