,no_of_nodes,no_of_edges,average_degree,average_clustering_coefficient,diameter,radius,powerlaw_exponent
0,26.0,81.0,6.238131220492445,0.7033212902802388,3,2,2.4075858250545843
1,29.0,76.0,5.260352543581046,0.6333199212476397,4,2,2.9844181288500846
2,32.00000000000001,85.00000000000003,5.349206672838876,0.6835385400529085,3,2,2.365894067703897
3,34.0,111.00000000000004,6.456136775139365,0.7329869214306002,4,2,2.362632561283025
4,36.0,156.0,8.758000143537885,0.7139076875071665,7,4,3.2675569999612017
5,40.000000000000014,117.0,5.81551969020556,0.6918953770542629,3,2,2.60756807600666
6,42.00000000000001,74.00000000000001,3.5366486402951223,0.48957286434184605,5,3,3.72357001427489
7,45.00000000000001,194.99999999999991,8.653117098008472,0.7938027585412736,3,2,2.4898501699379096
8,45.00000000000001,119.99999999999996,5.286431956275705,0.6839723458765596,4,2,3.50342463188448
9,46.0,78.99999999999999,3.415493959623504,0.4597775570983616,3,2,2.9204236604306346
10,46.0,111.99999999999996,4.913064801396182,0.6252326044759221,3,2,2.6914110946833274
11,52.00000000000001,62.0,2.37423744824933,0.24751899011701176,7,4,2.2372244798882606
12,56.00000000000001,178.00000000000003,6.34389749077288,0.7411230573918899,4,3,3.8048546157453695
13,57.00000000000001,117.0,4.098713905776649,0.5669191248424557,4,2,3.1574167498247627
14,57.00000000000001,140.99999999999991,4.947759105260539,0.6244994517831208,3,2,4.712333586473474
15,59.00000000000001,124.00000000000004,4.191356126445953,0.5693237784948032,4,2,2.0209141039006084
16,62.0,268.00000000000006,8.600559756115032,0.6962942580546924,3,2,2.9551149258759404
17,64.99999999999999,134.00000000000003,4.142339470146537,0.5900351746209451,3,2,3.6159238307341206
18,68.00000000000001,194.0,5.676140876583438,0.6966842848148238,2,1,2.2994842314354518
19,70.99999999999999,208.99999999999991,5.931231109632753,0.665269038260113,3,2,2.5696409098900133
20,72.00000000000001,280.99999999999994,7.831034911305145,0.8020565941125717,5,3,3.968953738308517
21,74.00000000000001,103.99999999999996,2.7970460819141136,0.3324958680824003,3,2,2.28053128281293
22,79.99999999999999,245.00000000000009,6.135817013675528,0.6278983761313002,3,2,4.540290869153173
23,82.0,243.0,5.936781578091527,0.7267357350661438,3,2,2.4450376321913847
24,83.99999999999999,286.00000000000006,6.800036701389836,0.7698930315384102,3,2,3.803875305403565
25,85.99999999999999,243.0,5.65349572274273,0.6569956319851252,3,2,4.229996712804199
26,85.99999999999999,293.00000000000006,6.80312648049466,0.7012935894966668,3,2,2.3176913789789264
27,86.99999999999999,304.0000000000001,6.993636883582847,0.7333312045193907,4,2,3.1436872841499874
28,92.0,195.99999999999997,4.251285836801846,0.5652249617659288,2,1,2.47745106938759
29,92.0,241.99999999999991,5.233282099990646,0.6432871738232505,2,1,2.4341609187588378
30,98.0,440.0,8.947863262076632,0.8142302189656915,4,2,2.235735096380326
31,108.00000000000004,220.99999999999997,4.103350177163052,0.5839727454685041,4,2,3.321064027485676
32,114.00000000000004,204.0,3.589278518575154,0.4651728056652442,7,4,3.4979947823143047
33,115.00000000000004,319.9999999999999,5.569807989928711,0.6629211733291331,4,2,2.1388010320311994
34,122.00000000000004,319.9999999999999,5.263012835197605,0.6042968023437643,4,2,3.2404255532193464
35,122.00000000000004,397.00000000000017,6.52654698162266,0.6874650556060474,6,4,2.4196809568032176
36,128.0,362.00000000000006,5.6786748600827375,0.68141663669583,4,2,4.625472498111839
37,131.00000000000006,672.0000000000001,10.234535915051202,0.7310692870539675,4,2,3.069087627601506
38,133.0,332.9999999999999,5.0167208257412295,0.6501481108757251,5,3,2.658843357755577
39,135.0,353.99999999999983,5.2476518533756,0.6283371977314276,4,2,2.2332512966431994
40,138.99999999999997,1227.0000000000007,17.604117575366107,0.8133356790680807,4,2,2.2329306416481582
